,Total Revenue,Net Income,EBITDA
TTM,"113,405,000","34,977,000",-
12/30/2018,"109,029,000","32,474,000",-
12/30/2017,"99,624,000","24,441,000",-
12/30/2016,"95,668,000","24,733,000",-
12/30/2015,"93,543,000","24,442,000",-
